,PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,Travelling_Solo,Group_Size,Cabin_Deck,Cabin_Side,Cabin_Region1,Cabin_Region2,Cabin_Region3,Cabin_Region4,Cabin_Region5,Cabin_Region6,Age Group,Total Expenditure,No Spending,Expenditure Category
10,0008_02,Europa,True,B/1/P,TRAPPIST-1e,34.0,False,0.0,0.0,,0.0,0.0,Altardr Flatic,True,False,3,B,P,True,False,False,False,False,False,Age_33_50,0.0,True,No Expense
11,0008_03,Europa,False,B/1/P,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,True,False,3,B,P,True,False,False,False,False,False,Age_33_50,8157.0,False,High Expense
12,0009_01,Mars,False,F/1/P,TRAPPIST-1e,32.0,False,73.0,0.0,1123.0,0.0,113.0,Berers Barne,True,True,1,F,P,True,False,False,False,False,False,Age_26-32,1309.0,False,Medium Expense
13,0010_01,Earth,False,G/1/S,TRAPPIST-1e,48.0,False,719.0,1.0,65.0,0.0,24.0,Reney Baketton,False,True,1,G,S,True,False,False,False,False,False,Age_33_50,809.0,False,Medium Expense
14,0011_01,Earth,False,F/2/P,TRAPPIST-1e,28.0,False,8.0,974.0,12.0,2.0,7.0,Elle Bertsontry,True,True,1,F,P,True,False,False,False,False,False,Age_26-32,1003.0,False,Medium Expense
15,0012_01,Earth,False,np.nan/np.nan/np.nan,TRAPPIST-1e,31.0,False,32.0,0.0,876.0,0.0,0.0,Justie Pooles,False,True,1,F,S,False,True,False,False,False,False,Age_26-32,908.0,False,Medium Expense
16,0014_01,Mars,False,F/3/P,55 Cancri e,27.0,False,1286.0,122.0,,0.0,0.0,Flats Eccle,False,True,1,F,P,True,False,False,False,False,False,Age_26-32,1408.0,False,Medium Expense
17,0015_01,Earth,False,F/4/P,55 Cancri e,24.0,False,0.0,1.0,0.0,0.0,637.0,Carry Hughriend,False,True,1,F,P,True,False,False,False,False,False,Age_19-25,638.0,False,Low Expense
18,0016_01,Mars,True,F/5/P,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,Alus Upead,True,True,1,F,P,True,False,False,False,False,False,Age_33_50,0.0,True,No Expense
19,0017_01,Earth,False,G/0/P,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,True,False,2,G,P,True,False,False,False,False,False,Age_0-12,0.0,True,No Expense
20,0017_02,Earth,False,F/6/P,55 Cancri e,14.0,False,412.0,0.0,1.0,0.0,679.0,Philda Brighttt,False,False,2,F,P,True,False,False,False,False,False,Age_0-18,1092.0,False,Medium Expense
21,0020_01,Earth,True,E/0/S,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,False,False,6,E,S,True,False,False,False,False,False,Age_0-12,0.0,True,No Expense
22,0020_02,Earth,True,E/0/S,55 Cancri e,49.0,False,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,False,False,6,E,S,True,False,False,False,False,False,Age_33_50,0.0,True,No Expense
23,0020_03,Earth,True,E/0/S,55 Cancri e,29.0,False,0.0,0.0,,0.0,0.0,Mollen Mcfaddennon,False,False,6,E,S,True,False,False,False,False,False,Age_26-32,0.0,True,No Expense
24,0020_04,Earth,False,E/0/S,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,True,False,6,E,S,True,False,False,False,False,False,Age_0-12,0.0,True,No Expense
25,0020_05,Earth,True,E/0/S,PSO J318.5-22,1.0,False,,0.0,0.0,0.0,0.0,Mael Brantuarez,False,False,6,E,S,True,False,False,False,False,False,Age_0-12,0.0,True,No Expense
26,0020_06,Earth,False,E/0/S,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,False,False,6,E,S,True,False,False,False,False,False,Age_0-12,0.0,True,No Expense
27,0022_01,Mars,False,D/0/P,TRAPPIST-1e,21.0,False,980.0,2.0,69.0,0.0,0.0,,False,True,1,D,P,True,False,False,False,False,False,Age_19-25,1051.0,False,Medium Expense
28,0024_01,Europa,True,C/2/S,TRAPPIST-1e,62.0,False,0.0,0.0,,0.0,0.0,Penton Fullided,True,True,1,C,S,True,False,False,False,False,False,age_50+,0.0,True,No Expense
29,0025_01,Earth,False,F/6/S,TRAPPIST-1e,15.0,False,0.0,225.0,0.0,998.0,0.0,Karard Brookenson,False,True,1,F,S,True,False,False,False,False,False,Age_0-18,1223.0,False,Medium Expense
30,0026_01,Europa,False,C/0/P,55 Cancri e,34.0,False,22.0,6073.0,0.0,1438.0,328.0,Anyoni Unconary,False,True,1,C,P,True,False,False,False,False,False,Age_33_50,7861.0,False,High Expense
31,0028_01,Mars,False,F/8/P,TRAPPIST-1e,43.0,False,1125.0,0.0,136.0,48.0,0.0,Ceros Mare,False,True,1,F,P,True,False,False,False,False,False,Age_33_50,1309.0,False,Medium Expense
32,0030_01,Earth,False,G/4/S,TRAPPIST-1e,32.0,False,0.0,850.0,81.0,437.0,453.0,Ginia Morsentley,False,True,1,G,S,True,False,False,False,False,False,Age_26-32,1821.0,False,High Expense
33,0031_01,Mars,False,F/9/P,TRAPPIST-1e,47.0,False,214.0,0.0,1411.0,0.0,1229.0,Coobix Datie,True,False,3,F,P,True,False,False,False,False,False,Age_33_50,2854.0,False,High Expense
34,0031_02,Mars,False,F/9/P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Cinets Datie,True,False,3,F,P,True,False,False,False,False,False,Age_0-12,0.0,True,No Expense
35,0031_03,Mars,False,F/9/P,TRAPPIST-1e,20.0,False,,0.0,1750.0,990.0,0.0,Dontch Datie,True,False,3,F,P,True,False,False,False,False,False,Age_19-25,2740.0,False,High Expense
36,0034_01,Europa,True,D/1/S,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,True,True,1,D,S,True,False,False,False,False,False,Age_26-32,0.0,True,No Expense
37,0035_01,Mars,False,D/1/P,55 Cancri e,23.0,False,784.0,964.0,0.0,951.0,0.0,Luse Butte,False,True,1,D,P,True,False,False,False,False,False,Age_19-25,2699.0,False,High Expense
38,0036_01,Earth,False,F/8/S,55 Cancri e,15.0,,0.0,492.0,48.0,20.0,401.0,Marina Leodger,False,True,1,F,S,True,False,False,False,False,False,Age_0-18,961.0,False,Medium Expense
39,0038_01,Earth,False,F/10/S,55 Cancri e,20.0,False,554.0,195.0,0.0,2606.0,0.0,Loise Wheelez,False,True,1,F,S,True,False,False,False,False,False,Age_19-25,3355.0,False,High Expense
40,0039_01,Earth,True,G/1/P,55 Cancri e,30.0,False,0.0,0.0,,0.0,0.0,Jorgie Batthewitt,False,True,1,G,P,True,False,False,False,False,False,Age_26-32,0.0,True,No Expense
41,0041_01,Earth,True,G/2/P,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,True,True,1,G,P,True,False,False,False,False,False,Age_0-18,0.0,True,No Expense
42,0043_01,Europa,False,B/3/P,TRAPPIST-1e,45.0,False,0.0,164.0,45.0,2511.0,855.0,Ankalik Cylistrand,False,True,1,B,P,True,False,False,False,False,False,Age_33_50,3575.0,False,High Expense
43,0044_01,Earth,True,G/3/P,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,False,False,3,G,P,True,False,False,False,False,False,age_50+,0.0,True,No Expense
44,0044_02,Earth,True,G/3/P,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,True,False,3,G,P,True,False,False,False,False,False,Age_0-12,0.0,True,No Expense
45,0044_03,Earth,True,G/3/P,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez,True,False,3,G,P,True,False,False,False,False,False,Age_19-25,0.0,True,No Expense
46,0045_01,Mars,False,F/10/P,TRAPPIST-1e,21.0,False,970.0,0.0,180.0,0.0,64.0,Zelowl Chmad,False,False,2,F,P,True,False,False,False,False,False,Age_19-25,1214.0,False,Medium Expense
47,0045_02,Mars,True,F/10/P,,19.0,False,0.0,0.0,0.0,0.0,0.0,Mass Chmad,True,False,2,F,P,True,False,False,False,False,False,Age_19-25,0.0,True,No Expense
48,0050_01,Earth,False,E/1/S,55 Cancri e,35.0,False,790.0,0.0,0.0,,0.0,Sony Lancis,False,True,1,E,S,True,False,False,False,False,False,Age_33_50,790.0,False,Medium Expense
49,0051_01,Earth,False,E/2/S,TRAPPIST-1e,56.0,False,0.0,112.0,0.0,1379.0,127.0,Vivia Johnshines,False,True,1,E,S,True,False,False,False,False,False,age_50+,1618.0,False,High Expense
50,0052_01,Earth,False,G/6/S,TRAPPIST-1e,,False,4.0,0.0,2.0,4683.0,0.0,Elaney Hubbarton,False,True,1,G,S,True,False,False,False,False,False,,4689.0,False,High Expense
51,0053_01,Earth,False,F/11/S,TRAPPIST-1e,25.0,False,0.0,0.0,1938.0,0.0,1.0,Elson Hickerson,True,True,1,F,S,True,False,False,False,False,False,Age_19-25,1939.0,False,High Expense
52,0056_01,Europa,False,A/1/S,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Okulas Tractive,True,False,3,A,S,True,False,False,False,False,False,Age_0-12,0.0,True,No Expense
53,0056_02,Europa,True,A/1/S,TRAPPIST-1e,38.0,False,0.0,0.0,0.0,0.0,0.0,Instab Tractive,True,False,3,A,S,True,False,False,False,False,False,Age_33_50,0.0,True,No Expense
54,0056_03,Europa,False,A/1/S,TRAPPIST-1e,27.0,False,279.0,605.0,3374.0,286.0,3.0,Zinoces Tractive,True,False,3,A,S,True,False,False,False,False,False,Age_26-32,4547.0,False,High Expense
55,0058_01,Earth,True,G/7/S,PSO J318.5-22,36.0,False,0.0,0.0,0.0,0.0,0.0,Warry Ayalazquez,False,True,1,G,S,True,False,False,False,False,False,Age_33_50,0.0,True,No Expense
56,0061_01,Earth,False,F/12/S,TRAPPIST-1e,22.0,False,45.0,1096.0,148.0,1377.0,1.0,Shanya Salez,False,True,1,F,S,True,False,False,False,False,False,Age_19-25,2667.0,False,High Expense
57,0062_01,Earth,False,F/13/S,TRAPPIST-1e,62.0,False,0.0,592.0,0.0,17.0,25.0,Sterry Greeves,False,True,1,F,S,True,False,False,False,False,False,age_50+,634.0,False,Low Expense
58,0064_01,Mars,True,F/14/S,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,,True,False,2,F,S,True,False,False,False,False,False,Age_0-18,0.0,True,No Expense
59,0064_02,,True,E/3/S,TRAPPIST-1e,33.0,False,0.0,0.0,,0.0,0.0,Colatz Keen,True,False,2,E,S,True,False,False,False,False,False,Age_33_50,0.0,True,No Expense
60,0066_01,Earth,False,G/6/P,TRAPPIST-1e,62.0,False,1.0,153.0,197.0,0.0,460.0,Diandy Pecketton,False,True,1,G,P,True,False,False,False,False,False,age_50+,811.0,False,Medium Expense
61,0067_01,Earth,True,G/10/S,PSO J318.5-22,0.0,False,0.0,0.0,0.0,0.0,0.0,Ninaha Leeves,True,False,3,G,S,True,False,False,False,False,False,Age_0-12,0.0,True,No Expense
62,0067_02,Earth,False,G/10/S,TRAPPIST-1e,18.0,False,1.0,258.0,446.0,0.0,0.0,Celine Leeves,True,False,3,G,S,True,False,False,False,False,False,Age_0-18,705.0,False,Low Expense
63,0067_03,Earth,False,F/15/S,55 Cancri e,21.0,False,1946.0,37.0,0.0,0.0,24.0,Velyne Leeves,False,False,3,F,S,True,False,False,False,False,False,Age_19-25,2007.0,False,High Expense
64,0068_01,Mars,False,E/4/S,TRAPPIST-1e,,False,793.0,0.0,2.0,253.0,0.0,Cinst Binie,False,True,1,E,S,True,False,False,False,False,False,,1048.0,False,Medium Expense
65,0069_01,Earth,False,F/16/S,TRAPPIST-1e,42.0,False,887.0,0.0,9.0,6.0,0.0,,True,True,1,F,S,True,False,False,False,False,False,Age_33_50,902.0,False,Medium Expense
66,0070_01,Earth,False,F/13/P,TRAPPIST-1e,19.0,False,190.0,0.0,5.0,1.0,726.0,Meremy Brighttt,False,True,1,F,P,True,False,False,False,False,False,Age_19-25,922.0,False,Medium Expense
67,0071_01,Earth,False,F/14/P,TRAPPIST-1e,17.0,False,16.0,2165.0,0.0,0.0,52.0,Nelly Dillines,False,True,1,F,P,True,False,False,False,False,False,Age_0-18,2233.0,False,High Expense
68,0072_01,Earth,False,F/17/S,TRAPPIST-1e,14.0,False,0.0,1.0,0.0,0.0,1063.0,Thell Brantuarez,False,True,1,F,S,True,False,False,False,False,False,Age_0-18,1064.0,False,Medium Expense
69,0073_01,Mars,False,D/3/P,PSO J318.5-22,37.0,False,46.0,83.0,738.0,0.0,12.0,Gorn Make,False,True,1,D,P,True,False,False,False,False,False,Age_33_50,879.0,False,Medium Expense
70,0074_01,Europa,False,C/3/S,TRAPPIST-1e,42.0,False,1.0,8397.0,0.0,0.0,506.0,Aldibah Mostedry,True,True,1,C,S,True,False,False,False,False,False,Age_33_50,8904.0,False,High Expense
71,0076_01,Mars,False,F/18/S,TRAPPIST-1e,27.0,False,147.0,0.0,1018.0,0.0,0.0,Conk Dal,True,True,1,F,S,True,False,False,False,False,False,Age_26-32,1165.0,False,Medium Expense
72,0077_01,Mars,False,F/15/P,TRAPPIST-1e,28.0,False,14.0,0.0,1295.0,0.0,0.0,Pon Blité,True,True,1,F,P,True,False,False,False,False,False,Age_26-32,1309.0,False,Medium Expense
73,0078_01,Europa,False,C/4/S,TRAPPIST-1e,38.0,False,0.0,5840.0,0.0,321.0,9654.0,Spuri Pokerheed,False,True,1,C,S,True,False,False,False,False,False,Age_33_50,15815.0,False,High Expense
74,0081_01,Earth,True,G/13/S,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Dellie Vinozarks,False,True,1,G,S,True,False,False,False,False,False,Age_0-18,0.0,True,No Expense
75,0082_01,Mars,False,F/16/P,TRAPPIST-1e,42.0,False,7406.0,0.0,0.0,0.0,0.0,Totse Datte,False,False,3,F,P,True,False,False,False,False,False,Age_33_50,7406.0,False,High Expense
76,0082_02,Mars,True,F/16/P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Eaturs Datte,True,False,3,F,P,True,False,False,False,False,False,Age_0-12,0.0,True,No Expense
77,0082_03,Mars,False,F/16/P,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,,True,False,3,F,P,True,False,False,False,False,False,Age_0-12,0.0,True,No Expense
78,0084_01,Earth,False,G/14/S,TRAPPIST-1e,24.0,False,688.0,0.0,0.0,0.0,17.0,Coren Coopezmaney,True,True,1,G,S,True,False,False,False,False,False,Age_19-25,705.0,False,Low Expense
79,0085_01,Europa,True,C/5/S,TRAPPIST-1e,40.0,False,0.0,0.0,0.0,0.0,0.0,Furudah Ellcefulve,True,True,1,C,S,True,False,False,False,False,False,Age_33_50,0.0,True,No Expense
80,0086_01,Earth,False,F/17/P,TRAPPIST-1e,43.0,False,211.0,0.0,0.0,638.0,513.0,Jodye Kinson,False,True,1,F,P,True,False,False,False,False,False,Age_33_50,1362.0,False,Medium Expense
81,0088_01,Mars,True,E/5/S,PSO J318.5-22,45.0,False,0.0,0.0,0.0,0.0,0.0,Stmeal Sacre,True,True,1,E,S,True,False,False,False,False,False,Age_33_50,0.0,True,No Expense
82,0090_01,Earth,True,G/15/S,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,Heremy Santry,True,True,1,G,S,True,False,False,False,False,False,Age_33_50,0.0,True,No Expense
83,0091_01,Earth,True,G/16/S,TRAPPIST-1e,26.0,False,,0.0,0.0,0.0,0.0,Deanne Yorkland,True,False,2,G,S,True,False,False,False,False,False,Age_26-32,0.0,True,No Expense
84,0091_02,Earth,False,F/20/S,TRAPPIST-1e,27.0,False,1.0,697.0,31.0,188.0,0.0,Tinez Yorkland,False,False,2,F,S,True,False,False,False,False,False,Age_26-32,917.0,False,Medium Expense
85,0092_01,Earth,False,G/9/P,TRAPPIST-1e,19.0,False,0.0,0.0,670.0,1.0,34.0,Gracy Dunnisey,False,False,3,G,P,True,False,False,False,False,False,Age_19-25,705.0,False,Low Expense
86,0092_02,Earth,True,G/9/P,TRAPPIST-1e,0.0,False,0.0,0.0,,0.0,0.0,Stald Hewson,True,False,3,G,P,True,False,False,False,False,False,Age_0-12,0.0,True,No Expense
87,0092_03,Earth,True,G/9/P,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,Tiney Hewson,True,False,3,G,P,True,False,False,False,False,False,Age_0-12,0.0,True,No Expense
88,0097_01,Europa,False,A/2/S,TRAPPIST-1e,54.0,False,0.0,1208.0,0.0,3.0,637.0,Alchium Fictful,False,True,1,A,S,True,False,False,False,False,False,age_50+,1848.0,False,High Expense
89,0098_01,Earth,False,G/11/P,TRAPPIST-1e,26.0,False,0.0,856.0,5.0,32.0,0.0,Doria Carezquez,False,False,2,G,P,True,False,False,False,False,False,Age_26-32,893.0,False,Medium Expense
90,0098_02,Earth,False,G/11/P,TRAPPIST-1e,26.0,False,0.0,2811.0,957.0,0.0,87.0,Leence Carezquez,True,False,2,G,P,True,False,False,False,False,False,Age_26-32,3855.0,False,High Expense
91,0099_01,Earth,False,F/19/P,PSO J318.5-22,23.0,False,311.0,427.0,526.0,37.0,0.0,Aliey Leetersoney,False,False,2,F,P,True,False,False,False,False,False,Age_19-25,1301.0,False,Medium Expense
92,0099_02,Earth,,G/12/P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Thewis Connelson,True,False,2,G,P,True,False,False,False,False,False,Age_0-12,0.0,True,No Expense
93,0101_01,Mars,True,np.nan/np.nan/np.nan,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,Book Trad,True,True,1,F,S,False,True,False,False,False,False,Age_26-32,0.0,True,No Expense
94,0102_01,Earth,False,F/23/S,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,830.0,91.0,Ritany Holson,False,True,1,F,S,True,False,False,False,False,False,Age_0-18,921.0,False,Medium Expense
95,0103_01,Earth,False,F/24/S,TRAPPIST-1e,24.0,False,0.0,,0.0,0.0,17.0,Arlen Mclainez,True,False,3,F,S,True,False,False,False,False,False,Age_19-25,17.0,False,Low Expense
96,0103_02,Earth,True,G/18/S,55 Cancri e,9.0,False,0.0,0.0,0.0,0.0,0.0,Shaele Mclainez,True,False,3,G,S,True,False,False,False,False,False,Age_0-12,0.0,True,No Expense
97,0103_03,Earth,True,G/18/S,TRAPPIST-1e,6.0,False,0.0,0.0,0.0,0.0,0.0,Fanne Mclainez,False,False,3,G,S,True,False,False,False,False,False,Age_0-12,0.0,True,No Expense
98,0105_01,Earth,,F/21/P,TRAPPIST-1e,27.0,False,0.0,0.0,570.0,2.0,131.0,Carry Cleachrand,False,True,1,F,P,True,False,False,False,False,False,Age_26-32,703.0,False,Low Expense
99,0107_01,Mars,False,D/2/S,TRAPPIST-1e,21.0,False,1743.0,5.0,17.0,0.0,0.0,Coobix Hart,False,True,1,D,S,True,False,False,False,False,False,Age_19-25,1765.0,False,High Expense
100,0108_01,Earth,True,G/19/S,TRAPPIST-1e,23.0,False,0.0,0.0,0.0,0.0,0.0,Natald Handertiz,False,False,3,G,S,True,False,False,False,False,False,Age_19-25,0.0,True,No Expense
101,0108_02,Earth,False,G/19/S,TRAPPIST-1e,31.0,False,562.0,0.0,326.0,0.0,0.0,,False,False,3,G,S,True,False,False,False,False,False,Age_26-32,888.0,False,Medium Expense
102,0108_03,Earth,False,G/19/S,TRAPPIST-1e,0.0,,0.0,0.0,0.0,0.0,0.0,Oline Handertiz,True,False,3,G,S,True,False,False,False,False,False,Age_0-12,0.0,True,No Expense
103,0110_01,Europa,False,np.nan/np.nan/np.nan,TRAPPIST-1e,32.0,False,0.0,410.0,6.0,3929.0,764.0,Graviph Aloubtled,False,False,4,F,S,False,True,False,False,False,False,Age_26-32,5109.0,False,High Expense
104,0110_02,Europa,,B/5/P,TRAPPIST-1e,40.0,False,0.0,331.0,0.0,0.0,1687.0,Aldeba Bootious,False,False,4,B,P,True,False,False,False,False,False,Age_33_50,2018.0,False,High Expense
105,0110_03,Europa,False,B/5/P,TRAPPIST-1e,42.0,False,2209.0,11418.0,0.0,1868.0,445.0,Alaratz Aloubtled,True,False,4,B,P,True,False,False,False,False,False,Age_33_50,15940.0,False,High Expense
106,0110_04,Europa,True,B/5/P,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,Izark Aloubtled,True,False,4,B,P,True,False,False,False,False,False,Age_26-32,0.0,True,No Expense
107,0111_01,Europa,True,E/6/S,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,0.0,0.0,Aldera Supred,True,True,1,E,S,True,False,False,False,False,False,Age_26-32,0.0,True,No Expense
108,0112_01,Europa,False,B/1/S,55 Cancri e,48.0,True,0.0,2537.0,87.0,17.0,13.0,Moth Cowtale,True,True,1,B,S,True,False,False,False,False,False,Age_33_50,2654.0,False,High Expense
109,0113_01,Earth,False,F/23/P,TRAPPIST-1e,64.0,False,0.0,0.0,804.0,0.0,0.0,Idary Carvis,True,True,1,F,P,True,False,False,False,False,False,age_50+,804.0,False,Medium Expense
110,0114_01,Earth,False,G/20/S,TRAPPIST-1e,27.0,False,82.0,157.0,429.0,238.0,1.0,Maura Beckerson,False,True,1,G,S,True,False,False,False,False,False,Age_26-32,907.0,False,Medium Expense
111,0115_01,Mars,,F/24/P,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,,Rohs Pead,True,True,1,F,P,True,False,False,False,False,False,Age_26-32,0.0,True,No Expense
112,0116_01,Europa,False,D/4/P,TRAPPIST-1e,33.0,False,1.0,2223.0,0.0,12.0,404.0,Alhenah Suptive,True,True,1,D,P,True,False,False,False,False,False,Age_33_50,2640.0,False,High Expense
113,0119_01,,False,A/0/P,TRAPPIST-1e,39.0,False,0.0,2344.0,0.0,65.0,6898.0,Batan Coning,False,False,2,A,P,True,False,False,False,False,False,Age_33_50,9307.0,False,High Expense
114,0119_02,Europa,True,A/0/P,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Kleeiak Coning,True,False,2,A,P,True,False,False,False,False,False,Age_0-18,0.0,True,No Expense
115,0120_01,Mars,True,F/25/P,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,,Bees Sacre,True,True,1,F,P,True,False,False,False,False,False,Age_19-25,0.0,True,No Expense
116,0122_01,Earth,False,G/21/S,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,699.0,74.0,Shelle Hayder,False,True,1,G,S,True,False,False,False,False,False,Age_26-32,773.0,False,Medium Expense
117,0123_01,Earth,False,F/27/P,TRAPPIST-1e,18.0,False,55.0,597.0,49.0,0.0,1.0,Iree Fielson,False,True,1,F,P,True,False,False,False,False,False,Age_0-18,702.0,False,Low Expense
118,0126_01,Mars,True,F/27/S,TRAPPIST-1e,67.0,False,0.0,0.0,0.0,0.0,0.0,Milly Mish,True,True,1,F,S,True,False,False,False,False,False,age_50+,0.0,True,No Expense
119,0127_01,Mars,False,E/7/S,TRAPPIST-1e,35.0,False,701.0,0.0,296.0,0.0,25.0,Miloss Mesty,False,True,1,E,S,True,False,False,False,False,False,Age_33_50,1022.0,False,Medium Expense
120,0128_01,Mars,False,D/3/S,TRAPPIST-1e,61.0,True,2353.0,334.0,9.0,316.0,2.0,Grohs Fles,False,False,2,D,S,True,False,False,False,False,False,age_50+,3014.0,False,High Expense
121,0128_02,Mars,False,E/8/S,TRAPPIST-1e,45.0,False,2103.0,6.0,0.0,0.0,0.0,Barave Fles,False,False,2,E,S,True,False,False,False,False,False,Age_33_50,2109.0,False,High Expense
122,0129_01,Earth,True,G/22/S,PSO J318.5-22,22.0,False,0.0,0.0,,0.0,0.0,Race Fowles,True,True,1,G,S,True,False,False,False,False,False,Age_19-25,0.0,True,No Expense
123,0133_01,Mars,True,F/29/S,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,Flynx Blie,True,False,2,F,S,True,False,False,False,False,False,Age_19-25,0.0,True,No Expense
124,0133_02,Mars,False,D/5/S,TRAPPIST-1e,36.0,False,2738.0,0.0,0.0,0.0,0.0,Egrasp Blie,False,False,2,D,S,True,False,False,False,False,False,Age_33_50,2738.0,False,High Expense
125,0134_01,Earth,False,G/17/P,TRAPPIST-1e,19.0,False,0.0,14.0,730.0,0.0,0.0,Camina Harmontry,True,True,1,G,P,True,False,False,False,False,False,Age_19-25,744.0,False,Medium Expense
126,0136_01,Earth,False,G/23/S,PSO J318.5-22,47.0,False,97.0,418.0,126.0,25.0,55.0,,False,True,1,G,S,True,False,False,False,False,False,Age_33_50,721.0,False,Medium Expense
127,0138_01,Earth,True,G/18/P,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Fayene Gambs,True,False,2,G,P,True,False,False,False,False,False,Age_0-18,0.0,True,No Expense
128,0138_02,Earth,False,E/5/P,,34.0,False,0.0,22.0,0.0,564.0,207.0,Monah Gambs,False,False,2,E,P,True,False,False,False,False,False,Age_33_50,793.0,False,Medium Expense
